proportion_train,proportion_test,value
None,0.1,5.483341417570006
None,0.1,2.2217971214791095
None,0.1,2.136793410824389
None,0.1,2.0665995232415115
None,0.1,1.7572391614157477
None,0.1,1.6941584540442811
None,0.1,2.133545569924005
None,0.1,2.1099896786966177
None,0.1,5.458390530767587
None,0.1,1.755768216968153
None,0.1,2.1342634182762015
None,0.1,2.1095346992024395
None,0.1,1.7119453542210767
None,0.1,1.758655652132901
None,0.1,1.2136351729622867
None,0.1,1.8529839073962862
None,0.1,2.1441999173722603
None,0.1,2.7114359123284735
None,0.1,1.6693779900313563
None,0.1,2.0076735447682266
None,0.1,2.1261654870782456
None,0.1,6.739513501025844
None,0.1,1.8549651467195782
None,0.1,2.1288273788344685
None,0.1,2.228560451186445
None,0.1,1.5267942533538672
None,0.1,2.140317962179629
None,0.1,1.6507177033492824
None,0.1,1.553708135796506
None,0.1,1.5908997013238058
None,0.3,1.8486842105263157
None,0.3,2.0807799053997798
None,0.3,2.090556877375576
None,0.3,2.031707130550768
None,0.3,2.0223531876140806
None,0.3,5.413875599084288
None,0.3,2.48358190214805
None,0.3,3.9696173223011804
None,0.3,1.8620852787612658
None,0.3,3.56313132441215
None,0.3,1.6940101533415215
None,0.3,2.0896888802311064
None,0.3,1.7883796745082408
None,0.3,2.1151601640295468
None,0.3,2.204280429105297
None,0.3,2.281025967540924
None,0.3,1.728998632522291
None,0.3,2.067708497510501
None,0.3,1.686722486783443
None,0.3,2.090244605308354
None,0.3,2.06299864308258
None,0.3,2.017784372000603
None,0.3,1.9985416327637922
None,0.3,3.0711533669649698
None,0.3,2.079916930957987
None,0.3,1.9318307701159607
None,0.3,2.10672338606353
None,0.3,1.8287764690709456
None,0.3,4.705810139053746
None,0.3,1.743037374714416
None,0.5,2.0321991415115064
None,0.5,4.0872255786183915
None,0.5,2.001891079131496
None,0.5,1.8942989548441895
None,0.5,2.1583190127137746
None,0.5,2.0618591936011064
None,0.5,2.4290840739838813
None,0.5,1.905057508979688
None,0.5,1.5701355643249584
None,0.5,3.8862007854741214
None,0.5,2.0652650695953643
None,0.5,1.9030706300689844
None,0.5,4.177166366120845
None,0.5,2.1444783384720103
None,0.5,2.9525725820517996
None,0.5,2.4238274507402804
None,0.5,1.6245500168731908
None,0.5,2.210098273446115
None,0.5,1.9541774012825706
None,0.5,1.7654537116511586
None,0.5,1.833492804942519
None,0.5,1.9761442613373532
None,0.5,2.8850079632261725
None,0.5,2.0591013535974843
None,0.5,2.6605540016336304
None,0.5,1.756624938198254
None,0.5,2.1820364859557606
None,0.5,2.0518315411640695
None,0.5,2.074802273551323
None,0.5,2.568058580017546
None,0.7,1.9087491349170083
None,0.7,4.64760765447571
None,0.7,2.884370001309226
None,0.7,2.0435948582927574
None,0.7,6.6703494675992205
None,0.7,2.7617088154395018
None,0.7,6.31065461624182
None,0.7,2.307889024606732
None,0.7,1.5800410118399624
None,0.7,6.752373731592625
None,0.7,2.1139196734636596
None,0.7,2.4899949710247995
None,0.7,2.223466639873086
None,0.7,1.4560929776245113
None,0.7,1.725207461032963
None,0.7,1.7388719822231091
None,0.7,1.8292867746565526
None,0.7,1.381652834435399
None,0.7,3.041911614701936
None,0.7,2.0534484780184106
None,0.7,3.2065631783750073
None,0.7,1.8540442012713856
None,0.7,3.341100617672838
None,0.7,2.0085028953107886
None,0.7,2.2172647183449072
None,0.7,2.0738166575197967
None,0.7,2.053240264003927
None,0.7,2.04450522940695
None,0.7,1.7114047970312636
None,0.7,2.0406771393573027
None,0.9,1.988721805326106
None,0.9,5.5715652612978195
None,0.9,1.9342762237530575
None,0.9,9.663531242375168
None,0.9,2.0064935068194374
None,0.9,1.8117671800001958
None,0.9,7.314394124957363
None,0.9,5.387452205545024
None,0.9,2.547641816892122
None,0.9,1.7799043062200957
None,0.9,2.315203146501021
None,0.9,3.126935732796717
None,0.9,5.181818181818182
None,0.9,1.965665550535126
None,0.9,1.6257957675832022
None,0.9,2.057074504605891
None,0.9,4.142203686340004
None,0.9,1.9278879017350776
None,0.9,3.2523768410407463
